t,rainfall,action_s,action_e,action_h,action_p,flood_depth,flow,displaced,vulnerable,infected,contamination,healthcare,damage,failures,econ_loss,deaths,shelter_pressure,sanitation,personnel
25,1.586193528113676,1.0,0.0,0.0,0.0,0.12376594051748108,0.0,19.904958138011782,0.0,0.20941499445381487,94.37028257639881,0.4134903954993025,6.058007228973853,3.6094489405543038,90.80623194058488,205.87006916747012,248.43911267141394,4.9631065118525814,0.0
26,0.1841032547046262,1.0,0.0,0.0,0.0,1.2056359883820482,0.0,21.898699776436807,0.05,0.09098226497479726,102.46653165331124,0.0,6.107513605180846,0.0,98.71703053433464,232.78849124547384,268.3440708094257,4.9704852094820655,0.0
27,0.1919012552067006,1.0,0.0,1.0,0.0,0.0,0.0,22.00684957728718,0.0,1.9194769505107538,110.99420312055175,0.018196452994959453,6.589768000533665,3.6645081631085072,105.56707061118678,262.0902884077264,290.2427705858625,4.976388167585652,0.0
28,0.22217919801229194,1.0,0.0,0.0,0.0,0.1535210041653605,0.0,23.858045360015048,0.05,0.18833008754246827,119.39199223461185,0.9684338884602751,6.589768000533665,0.0,114.64599407725431,294.06931981599996,312.2496201631497,4.981110534068522,0.0
29,2.1160435985534822,1.0,0.0,0.5,0.0,0.08287450119384829,0.0,23.232409690831453,0.0,0.35385430298665554,128.2714925676094,0.9696228581702054,6.651176402199809,3.9538608003201987,122.11000937573353,327.74906060476445,336.10766552316477,4.984888427254818,0.0
30,0.24300027587494005,1.0,0.0,0.0,0.0,1.640604444341559,0.0,25.098674774893475,0.05,0.03806441182695697,137.81009166096277,0.0,6.684326202677348,0.0,131.10466248580383,363.77150537335297,359.3400752139962,4.987910741803854,0.0
31,0.1712315335728968,1.0,0.0,1.0,0.0,0.0,0.0,25.173898208126126,0.0,3.4313544356005337,147.89849540910797,0.007612882365391394,7.340567980413972,4.010595721606409,138.80954724540155,402.55872702584105,384.4387499888897,4.990328593443083,0.0
32,0.11694165817830499,1.0,0.0,1.0,0.0,0.13698522685831746,0.0,27.049816787713127,0.05,0.34048372079574385,157.4457839857629,1.2764463925735674,7.340567980413972,0.0,149.4141986985151,444.88216356670813,409.6126481970158,4.992262874754466,0.0
33,0.10427748691237676,1.0,0.0,0.0,0.0,0.0,0.0,26.226385354533875,0.0,0.28631622354152364,167.5838358824425,1.8576212933047656,7.395362071157299,4.404340788248383,157.86253436446202,488.6356343433672,436.6624649847289,4.993810299803573,0.0
34,2.233584155072302,1.0,0.0,0.0,0.0,0.08342198952990142,0.0,28.160929999270508,0.05,0.020822442337321723,178.36266702947023,0.0,7.395362071157299,0.0,167.91358744619353,534.9645969374953,462.8888503392628,4.995048239842858,0.0
35,2.041045738423824,1.0,0.0,1.0,0.0,1.7218755532747898,0.0,27.116014435828724,0.0,0.2545586355144893,188.8949321660487,0.004164488467464345,7.42873086696926,4.43721724269438,176.51016500721175,584.0945883461895,491.0497803385333,4.996038591874287,0.0
36,0.21004673214020664,1.0,0.0,0.0,0.0,0.27987946369297156,0.0,29.945505746426036,0.05,0.02534897360282745,200.9952153455354,0.6474726982560496,8.117481088279176,0.0,186.7561147288973,636.3569441044826,518.165794774362,4.996830873499429,0.0
37,0.2433127922873579,1.0,0.0,1.0,0.0,0.0,0.0,29.094820928324115,0.0,0.874521107437862,211.46499818573088,0.6492599393092863,8.229432873756364,4.870488652967505,195.99981300557502,691.2302046820608,548.1113005207881,4.9974646987995435,0.0
38,0.17257243549357737,1.0,0.0,0.0,0.0,0.19465023382988633,0.0,31.23580965869361,0.05,0.0,223.35923664519345,0.04572058967599968,8.229432873756364,0.0,207.32110213416075,749.162917075476,577.2061214491122,4.997971759039634,0.0
39,0.23515903776421052,1.0,0.0,1.0,0.0,0.0,0.0,30.14309759150664,0.0,0.6731193248747522,235.094490133438,0.04572058967599968,8.30729296728832,4.937659724253819,216.86003721540203,810.0460402330226,608.4419311078058,4.9983774072317075,0.0
40,0.2640519305819236,1.0,0.0,0.0,0.0,0.18812723021136843,0.0,32.161449688130595,0.05,0.06396528111462596,247.53041892676652,0.6838882864749057,8.30729296728832,0.0,228.38857360778263,874.1620188881761,638.5850286993124,4.998701925785366,0.0
41,0.12301093195174494,1.0,0.0,1.0,0.0,0.03036500231543046,0.0,30.926411869004287,0.0,0.7435317454135627,259.6817215784748,0.6879323213987575,8.382543859372866,4.984375780372991,238.16297031665846,941.2894868344206,670.746478387443,4.998961540628293,0.0
42,0.24153678339506388,1.0,0.0,0.0,0.0,0.06875705444238638,0.0,32.8795002804402,0.05,0.0,272.5050457858213,0.0,8.394689860299039,0.0,249.91808006998173,1011.6390482817936,701.6728902564472,4.999169232502634,0.0
43,0.15807214646608742,1.0,0.0,1.0,0.0,0.12592053527541558,0.0,31.48166837319701,0.0,0.3020212012878056,284.9008795599496,0.0,8.422192682075993,5.036813916179423,259.8518560701894,1085.1080387463708,734.5523905368874,4.999335386002107,0.0
44,0.2082180145326898,1.0,0.0,0.0,0.0,0.002496689721721429,0.0,33.436290978676105,0.05,0.03020212012878054,298.0950128234307,0.6604042402575611,8.47256089618616,0.0,271.6223987445173,1161.8574372249495,766.0340589100845,4.999468308801686,0.0
45,0.2228949492462029,1.0,0.0,0.0,0.0,0.16409142329012347,0.0,31.93406733448561,0.06686231314225999,0.04365756473521597,310.6511523569877,0.6624555426437542,8.473559572074848,5.083536537711695,281.7077419347656,1241.8122473992767,799.4703498887606,4.9995746470413485,0.0
46,0.2253072272780403,1.0,0.0,1.0,0.0,0.015092265596966498,0.0,33.879966387434486,0.0,1.067176247891693,324.1069654531867,0.0,8.539196141390898,0.0,293.53049111499786,1324.9960117628848,831.4044172232461,4.999659717633079,0.0
47,0.18935729314617106,1.0,0.0,0.0,0.0,0.16503520451021622,0.0,32.33654615414031,0.05,0.10671762478916935,336.8389110927925,0.8134352495783386,8.545233047629685,5.123517684834538,304.04231572340865,1411.954339076229,865.2843836106806,4.9997277741064625,0.0
48,0.2649259006291017,1.0,0.0,1.0,0.0,0.0,0.0,34.26950848549691,0.0,0.8917214008437522,350.46888757034225,0.0,8.611247129433771,0.0,316.00914053465914,1501.77297842314,897.6209297648209,4.99978221928517,0.0
49,0.24851587968287728,1.0,0.0,0.0,0.0,0.2119407205032814,0.0,32.68235506605779,0.05,0.08917214008437524,363.3539954706453,0.7783442801687505,8.611247129433771,5.166748277660262,326.57505750378516,1595.3187108085094,931.8904382503177,4.999825775428136,0.0
50,2.267767961700408,1.0,0.0,1.0,0.0,0.0,0.0,34.63984572940462,0.0,1.2076910156780774,377.16776922509564,0.0,8.696023417635084,0.0,338.64947832185965,1691.8384356243428,964.5727933163755,4.999860620342509,0.0
51,0.20944013705600234,1.0,0.0,0.0,0.0,1.8142143693603263,0.0,33.02949063410475,0.05,0.12076910156780785,390.1771290353677,0.8415382031356154,8.696023417635084,5.217614050581051,349.418164139498,1792.242775935192,999.2126390457802,4.999888496274007,0.0
52,0.27683296045875805,1.0,0.0,1.0,0.0,0.0,0.0,35.96030360982967,0.0,10.679887031455898,404.9401745118098,0.0,9.421709165379214,0.0,361.62574798407576,1895.8560639999546,1032.242129679885,4.999910797019206,0.0
53,0.13909141983049264,1.0,0.0,1.0,0.0,0.22146636836700645,0.0,34.52126838709127,0.05,1.0679887031455912,417.6077064546436,2.73597740629118,9.421709165379214,5.653025499227528,375.79045848163014,2006.9482621415084,1068.2024332897147,4.999928637615365,0.0
54,0.16927521392038924,1.0,0.0,1.0,0.0,0.0,0.0,36.89473532945726,0.0,0.7948977605371129,432.102561082759,0.0,9.510295712726016,0.0,389.04500263583475,2117.3792719599414,1102.723701676806,4.999942910092292,0.0
55,0.11470842641051672,1.0,0.0,0.0,0.0,0.1354201711363114,0.0,35.32196569120142,0.05,0.07948977605371133,445.84462852708543,0.7589795521074225,9.510295712726016,5.70617742763561,400.46653731497776,2231.6590747647824,1139.6184370062633,4.999954328073834,0.0
56,3.044233292328053,1.0,0.0,1.0,0.0,0.0,0.0,37.5687085398599,0.0,0.9551331435052747,460.67023274443653,0.0,9.56446378118054,0.0,413.6413666421788,2349.1982754076103,1174.9404026974648,4.999963462459067,0.0
57,2.2091623606363173,1.0,0.0,0.0,0.0,2.435386633862443,0.0,35.893645100596245,0.05,0.09551331435052757,474.7583929695762,0.7910266287010549,9.56446378118054,5.738678268708324,425.2674338056746,2470.831239788745,1212.5091112373248,4.999970769967254,0.0
58,1.9648341423710092,1.0,0.0,1.0,0.0,0.0,0.0,39.45803329072778,0.0,17.3978146731797,491.0035697024514,0.0,10.538618434725517,0.0,438.59607364005456,2596.1799242723187,1248.402756337921,4.999976615973803,0.0
59,2.2394966311409146,1.0,0.0,1.0,0.0,1.5718673138968073,0.0,37.98959769341754,0.05,1.73978146731797,504.6304117525312,4.079562934635939,10.538618434725517,6.32317106083531,455.9224720740442,2731.925129104455,1287.8607896286487,4.999981292779042,0.0
60,0.12108866863301143,1.0,0.0,1.0,0.0,0.0,0.0,41.551872240408606,0.0,10.243334046601968,521.1995587257707,0.0,11.16736536028424,0.0,470.7870418511474,2864.9615437533694,1325.8503873220664,4.999985034223234,0.0
61,0.1638111040141712,1.0,0.0,1.0,0.0,0.09687093490640915,0.0,40.04191700849743,0.05,1.0243334046601973,535.9238376089687,2.6486668093203938,11.16736536028424,6.700419216170544,486.6373626573234,3005.799103328258,1367.402259562475,4.999988027378587,0.0
62,2.077994815444316,1.0,0.0,0.0,0.0,0.0,0.0,42.912326913614656,0.0,0.23693332003548462,552.5930219725852,0.0,11.206113734246804,0.0,502.1001599110029,3146.6751919051644,1407.4441765709723,4.9999904219028695,0.0
63,0.20360864777002152,1.0,0.0,0.0,0.0,1.662395852355453,0.0,41.15352977143981,0.05,0.11846666001774231,568.5807274955124,0.04738666400709693,11.206113734246804,6.723668240548082,515.2361507834352,3291.805615581637,1450.356503484587,4.999992337522295,0.0
64,1.6597663779379603,1.0,0.0,1.0,0.0,0.0,0.0,44.77813051344205,0.0,14.257701026365236,586.5768561871358,0.0,11.871072075188986,0.0,530.6743095256464,3441.3343408382266,1491.5100332560266,4.999993870017836,0.0
65,0.11058556828981797,1.0,0.0,1.0,0.0,1.3278131023503683,0.0,43.04514765586703,0.05,1.4257701026365233,602.5395493400051,3.4515402052730475,11.871072075188986,7.122643245113391,548.65567476632,3600.6662376257195,1536.2881637694686,4.999995096014269,0.0
66,0.20023683205112383,1.0,0.0,1.0,0.0,0.0,0.0,46.72903517828527,0.0,10.909228411473245,621.1147080965573,0.0,12.402197316129133,0.0,565.2899214564053,3758.993246156816,1579.3333114253355,4.999996076811415,0.0
67,0.3495757574258866,1.0,0.0,1.0,0.0,0.1601894656408991,0.0,44.9245465323057,0.05,1.090922841147325,637.9344232281989,2.7818456822946493,12.402197316129133,7.4413183896774795,582.8693759419559,3925.9631721817673,1626.0623466036209,4.999996861449132,0.0
